entry,player
Jayde,Scottie Scheffler
Jayde,Collin Morikawa
Jayde,Patrick Cantlay
Jayde,Min Woo Lee
Jayde,Corey Connors
Jayde,Billy Horschel 
Jayde,JT Potson 
Jayde,Bubba Watson 
Alex,Rory Mcilroy
Alex,Collin Morikawa
Alex,Patrick Cantlay
Alex,Will Zalatoris
Alex,Patrick Reed
Alex,Cameron Young
Alex,Cameron Davis
Alex,Matthieu Pavon
Hunter,Scottie Scheffler
Hunter,Collin Morikawa
Hunter,Joaquin Niemann
Hunter,Robert Macintyre
Hunter,Corey Connors
Hunter,JJ Spaun
Hunter,Lucas Glover
Hunter,Matthieu Pavon
Zach,Rory Mcilroy
Zach,Byson Dechambeau
Zach,Brooks Koepka
Zach,Cameron Smith
Zach,Brian Harman 
Zach,Billy Horschel 
Zach,Lucas Glover
Zach,Danny Willett